                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0541,                 1.0568,                 1.2646,                 0.8485,                0.85467,                0.91502,                0.72863,                0.78831,                0.97919,                 1.1822,             0.00075383,             0.00075383,             0.00075383
                     51,                 1.0607,                 1.0469,                 1.2752,                0.85019,                0.83299,                0.90001,                0.71718,                0.78852,                0.98632,                 1.1903,             0.00075218,             0.00075218,             0.00075218
                     52,                 1.1658,                 1.0981,                  1.333,                0.82941,                0.88178,                0.88935,                 0.6988,                0.82304,                 1.0254,                 1.2285,             0.00075053,             0.00075053,             0.00075053
                     53,                 1.0354,                  1.009,                 1.2272,                0.90085,                0.88275,                0.93459,                0.76095,                0.76289,                0.89614,                 1.1908,             0.00074888,             0.00074888,             0.00074888
                     54,                 1.0323,                0.99939,                 1.2339,                0.89806,                0.88754,                0.92709,                0.75488,                0.74824,                0.90945,                 1.1792,             0.00074723,             0.00074723,             0.00074723
                     55,                 1.0152,                0.98652,                 1.2449,                0.89732,                 0.8743,                 0.9343,                0.76534,                0.73894,                0.85477,                 1.1698,             0.00074558,             0.00074558,             0.00074558
                     56,                  1.045,                 0.9964,                 1.2562,                0.87028,                0.90458,                0.93831,                0.75748,                0.77527,                0.88157,                 1.1762,             0.00074394,             0.00074394,             0.00074394
                     57,                  1.044,                 1.0713,                 1.3037,                0.89892,                0.89669,                0.93579,                0.74962,                0.79528,                0.90713,                 1.1956,             0.00074229,             0.00074229,             0.00074229
                     58,                 1.0104,                 1.0095,                 1.2475,                0.85484,                0.88182,                0.91259,                0.74396,                0.74434,                0.95705,                 1.1743,             0.00074064,             0.00074064,             0.00074064
                     59,                 1.0276,                0.99823,                 1.2869,                 0.9015,                0.88668,                0.93858,                0.75318,                0.78518,                0.86217,                 1.1842,             0.00073899,             0.00073899,             0.00073899
                     60,                 1.0378,                0.98399,                 1.2202,                0.90209,                0.86853,                 0.9296,                0.74783,                0.76009,                0.85941,                 1.1686,             0.00073734,             0.00073734,             0.00073734
                     61,                 1.0233,                0.98043,                 1.2496,                0.87639,                0.86893,                0.90661,                0.74154,                0.72971,                0.88974,                 1.1462,             0.00073569,             0.00073569,             0.00073569
